quest_id,task_id,config_name,split,npc_calls,correctness,verification,latency_s,input_cost,reasoning_cost,output_cost,cost_usd,retries,timestamp
wrong_return_in_loop__flatten_list__novel_b::A,wrong_return_in_loop__flatten_list__novel_b,A,NOVEL,1,1.0,PASS,4.427,142,722,61,0.0,0,2026-08-18T11:10:58.648414+00:00
wrong_return_in_loop__flatten_list__novel_b::B,wrong_return_in_loop__flatten_list__novel_b,B,NOVEL,1,1.0,PASS,0.654,142,0,61,0.0,0,2026-08-18T11:10:59.951576+00:00
wrong_return_in_loop__flatten_list__novel_b::F,wrong_return_in_loop__flatten_list__novel_b,F,NOVEL,1,1.0,PASS,0.698,142,0,61,0.0,0,2026-08-18T11:11:01.331445+00:00
mutable_default_argument__flatten_list__variant::A,mutable_default_argument__flatten_list__variant,A,VARIANT,1,1.0,PASS,16.239,140,1518,70,0.0,1,2026-08-18T11:12:18.191472+00:00
mutable_default_argument__flatten_list__variant::B,mutable_default_argument__flatten_list__variant,B,VARIANT,1,1.0,PASS,0.747,140,0,70,0.0,0,2026-08-18T11:12:19.626258+00:00
mutable_default_argument__flatten_list__variant::F,mutable_default_argument__flatten_list__variant,F,VARIANT,1,1.0,PASS,0.807,431,0,68,0.0,0,2026-08-18T11:12:21.116618+00:00
wrong_comparison_operator__merge_intervals__known_example::A,wrong_comparison_operator__merge_intervals__known_example,A,KNOWN,1,1.0,PASS,8.867,196,1565,111,0.0,0,2026-08-18T11:12:30.578570+00:00
wrong_comparison_operator__merge_intervals__known_example::B,wrong_comparison_operator__merge_intervals__known_example,B,KNOWN,1,1.0,PASS,0.8,196,0,111,0.0,0,2026-08-18T11:12:32.011974+00:00
wrong_comparison_operator__merge_intervals__known_example::F,wrong_comparison_operator__merge_intervals__known_example,F,KNOWN,1,1.0,PASS,0.777,484,0,111,0.0,0,2026-08-18T11:12:33.457496+00:00
index_out_of_range_boundary__binary_search__variant::A,index_out_of_range_boundary__binary_search__variant,A,VARIANT,1,1.0,PASS,4.113,180,591,98,0.0,0,2026-08-18T11:12:38.154768+00:00
index_out_of_range_boundary__binary_search__variant::B,index_out_of_range_boundary__binary_search__variant,B,VARIANT,1,1.0,PASS,0.905,180,0,98,0.0,0,2026-08-18T11:12:39.722201+00:00
index_out_of_range_boundary__binary_search__variant::F,index_out_of_range_boundary__binary_search__variant,F,VARIANT,1,1.0,PASS,0.828,476,0,98,0.0,0,2026-08-18T11:12:41.197703+00:00
inverted_boolean_logic__is_valid_password__variant::A,inverted_boolean_logic__is_valid_password__variant,A,VARIANT,1,1.0,PASS,26.403,146,2784,59,0.0,0,2026-08-18T11:13:08.179931+00:00
