npc_id,parent_id,quest_id,step_id,role,event_type,config_name,prompt_tokens,context_tokens,retrieved_tokens,tool_tokens,reasoning_tokens,output_tokens,latency_ms,cost_usd,passed,timestamp
A:npc,,variable_shadowing__rolling_average__novel_a::A,1,npc,QUEST_CREATED,A,,,,,,,,,,2026-08-18T14:23:13.513428+00:00
A:npc,ec0327c318fa48859bb2f18e2a5c7d38,variable_shadowing__rolling_average__novel_a::A,2,npc,NPC_ASSIGNED,A,,,,,,,,,,2026-08-18T14:23:13.514080+00:00
A:worker,34985886aa014348bbd0601d54a7f12b,variable_shadowing__rolling_average__novel_a::A,3,worker,PROMPT_BUILT,A,158,158,0,,,,,,,2026-08-18T14:23:13.720322+00:00
A:worker,e47ec2f7a17a4d8cb20d254fa28e4954,variable_shadowing__rolling_average__novel_a::A,4,worker,MODEL_CALL_STARTED,A,,,,,,,,,,2026-08-18T14:23:13.721082+00:00
A:worker,e56db5ba32914643b2237c2c98feb4b2,variable_shadowing__rolling_average__novel_a::A,5,worker,MODEL_CALL_FINISHED,A,158,,,,481,75,16525.65569995204,0.0,,2026-08-18T14:23:30.247183+00:00
A:checker,1efac196af6d4229be8da73120f88355,variable_shadowing__rolling_average__novel_a::A,6,checker,VERIFICATION,A,0,,,,,0,,,True,2026-08-18T14:23:30.800914+00:00
A:npc,99ac364eef404318875117fb491c5fe1,variable_shadowing__rolling_average__novel_a::A,7,npc,QUEST_COMPLETED,A,,,,,,,,,True,2026-08-18T14:23:30.802914+00:00
B:npc,,variable_shadowing__rolling_average__novel_a::B,1,npc,QUEST_CREATED,B,,,,,,,,,,2026-08-18T14:23:30.803403+00:00
B:npc,9db87ad139934c95ae0dbe002d78b47b,variable_shadowing__rolling_average__novel_a::B,2,npc,NPC_ASSIGNED,B,,,,,,,,,,2026-08-18T14:23:30.803714+00:00
B:worker,7b7e27f47d754614882aad06ca79878a,variable_shadowing__rolling_average__novel_a::B,3,worker,PROMPT_BUILT,B,158,158,0,,,,,,,2026-08-18T14:23:30.954770+00:00
B:worker,d3ae88fa6f684898aad6d4312b025600,variable_shadowing__rolling_average__novel_a::B,4,worker,MODEL_CALL_STARTED,B,,,,,,,,,,2026-08-18T14:23:30.955682+00:00
B:worker,d07cc6e79ebb4deebf54c96d66d548e0,variable_shadowing__rolling_average__novel_a::B,5,worker,MODEL_CALL_FINISHED,B,158,,,,,77,2501.5254000318237,0.0,,2026-08-18T14:23:33.457677+00:00
B:checker,10da7f16b56a4ff49f9fc27232d1fd09,variable_shadowing__rolling_average__novel_a::B,6,checker,VERIFICATION,B,0,,,,,0,,,True,2026-08-18T14:23:33.958432+00:00
B:npc,ce986774faf14e9a8e8f85675bd63eca,variable_shadowing__rolling_average__novel_a::B,7,npc,QUEST_COMPLETED,B,,,,,,,,,True,2026-08-18T14:23:33.959281+00:00
F:npc,,variable_shadowing__rolling_average__novel_a::F,1,npc,QUEST_CREATED,F,,,,,,,,,,2026-08-18T14:23:33.959585+00:00
F:npc,976c2f2c04b64d1caf33255292d779cb,variable_shadowing__rolling_average__novel_a::F,2,npc,NPC_ASSIGNED,F,,,,,,,,,,2026-08-18T14:23:33.959862+00:00
F:librarian,38e26dbd086544248a5888b73be0b1d6,variable_shadowing__rolling_average__novel_a::F,3,librarian,RETRIEVAL_STARTED,F,,,,,,,,,,2026-08-18T14:23:34.204524+00:00
F:librarian,d5ac7acd80164a2c922cb70e261cc22e,variable_shadowing__rolling_average__novel_a::F,4,librarian,RETRIEVAL_RESULT,F,0,158,0,,,0,,,,2026-08-18T14:23:34.290369+00:00
F:worker,a9502c0df8fb490c903c17aa8427f219,variable_shadowing__rolling_average__novel_a::F,5,worker,PROMPT_BUILT,F,158,158,0,,,,,,,2026-08-18T14:23:34.291147+00:00
F:worker,b64f85bf4d7148909bd7f89bbf3c4a22,variable_shadowing__rolling_average__novel_a::F,6,worker,MODEL_CALL_STARTED,F,,,,,,,,,,2026-08-18T14:23:34.291446+00:00
F:worker,b3cb7320eb2745948aa4a01e2e6b4bae,variable_shadowing__rolling_average__novel_a::F,7,worker,MODEL_CALL_FINISHED,F,158,,,,,77,5130.559799959883,0.0,,2026-08-18T14:23:39.422345+00:00
F:checker,5450a87d27a94fa0bc888a4e255158e1,variable_shadowing__rolling_average__novel_a::F,8,checker,VERIFICATION,F,0,,,,,0,,,True,2026-08-18T14:23:39.956348+00:00
F:npc,26519e74f38d4e72bba09e382bf13016,variable_shadowing__rolling_average__novel_a::F,9,npc,QUEST_COMPLETED,F,,,,,,,,,True,2026-08-18T14:23:39.957206+00:00
A:npc,,wrong_accumulator_init__count_vowels__known_example::A,1,npc,QUEST_CREATED,A,,,,,,,,,,2026-08-18T14:23:39.957550+00:00
A:npc,0a80b6077f3a429ebfd610f137dc53f8,wrong_accumulator_init__count_vowels__known_example::A,2,npc,NPC_ASSIGNED,A,,,,,,,,,,2026-08-18T14:23:39.957846+00:00
A:worker,0253dcd8295748ef8136d9c99966abf4,wrong_accumulator_init__count_vowels__known_example::A,3,worker,PROMPT_BUILT,A,142,142,0,,,,,,,2026-08-18T14:23:40.186124+00:00
A:worker,f0ba0aeff3894c2fbfc1f294120ef8d5,wrong_accumulator_init__count_vowels__known_example::A,4,worker,MODEL_CALL_STARTED,A,,,,,,,,,,2026-08-18T14:23:40.186954+00:00
A:worker,f1edc4035c2646738aed3edba8c70519,wrong_accumulator_init__count_vowels__known_example::A,5,worker,MODEL_CALL_FINISHED,A,142,,,,96,56,8503.28519998584,0.0,,2026-08-18T14:23:48.690658+00:00
A:checker,9d5bd5ceedb447e9884ed6bb854bc093,wrong_accumulator_init__count_vowels__known_example::A,6,checker,VERIFICATION,A,0,,,,,0,,,True,2026-08-18T14:23:49.252810+00:00
A:npc,4680e73605d440398f1b52534461c372,wrong_accumulator_init__count_vowels__known_example::A,7,npc,QUEST_COMPLETED,A,,,,,,,,,True,2026-08-18T14:23:49.253657+00:00
B:npc,,wrong_accumulator_init__count_vowels__known_example::B,1,npc,QUEST_CREATED,B,,,,,,,,,,2026-08-18T14:23:49.254191+00:00
B:npc,e204b3277ced4a5d87478328b285e223,wrong_accumulator_init__count_vowels__known_example::B,2,npc,NPC_ASSIGNED,B,,,,,,,,,,2026-08-18T14:23:49.254493+00:00
B:worker,10fdbd067f7b45189b1f7effd5b36bae,wrong_accumulator_init__count_vowels__known_example::B,3,worker,PROMPT_BUILT,B,142,142,0,,,,,,,2026-08-18T14:23:49.398980+00:00
B:worker,e4124e9835f84f608f927dca04065040,wrong_accumulator_init__count_vowels__known_example::B,4,worker,MODEL_CALL_STARTED,B,,,,,,,,,,2026-08-18T14:23:49.399757+00:00
B:worker,b36de73c2dc143dda6930ec4e8a11db0,wrong_accumulator_init__count_vowels__known_example::B,5,worker,MODEL_CALL_FINISHED,B,142,,,,,56,775.5379000445828,0.0,,2026-08-18T14:23:50.175650+00:00
B:checker,c70c54ab1c2e4f6c8bcdc1272c669aa1,wrong_accumulator_init__count_vowels__known_example::B,6,checker,VERIFICATION,B,0,,,,,0,,,True,2026-08-18T14:23:50.660243+00:00
B:npc,b528736bb6ee4773bc0295443a18c453,wrong_accumulator_init__count_vowels__known_example::B,7,npc,QUEST_COMPLETED,B,,,,,,,,,True,2026-08-18T14:23:50.661057+00:00
F:npc,,wrong_accumulator_init__count_vowels__known_example::F,1,npc,QUEST_CREATED,F,,,,,,,,,,2026-08-18T14:23:50.661397+00:00
F:npc,6185896587c84fbf81b537a6ef1ad980,wrong_accumulator_init__count_vowels__known_example::F,2,npc,NPC_ASSIGNED,F,,,,,,,,,,2026-08-18T14:23:50.661678+00:00
F:librarian,f2bffe227bdd49778d7971a0f3a94f89,wrong_accumulator_init__count_vowels__known_example::F,3,librarian,RETRIEVAL_STARTED,F,,,,,,,,,,2026-08-18T14:23:50.812030+00:00
F:librarian,74749cd14c5f476a8f1fd5e45e8f03aa,wrong_accumulator_init__count_vowels__known_example::F,4,librarian,RETRIEVAL_RESULT,F,0,142,107,,,0,,,,2026-08-18T14:23:50.900037+00:00
F:worker,c70984f71a31462491d4c2a494c34303,wrong_accumulator_init__count_vowels__known_example::F,5,worker,PROMPT_BUILT,F,249,142,107,,,,,,,2026-08-18T14:23:50.900604+00:00
F:worker,1cbb9e39a6474018bb22a81f2279be61,wrong_accumulator_init__count_vowels__known_example::F,6,worker,MODEL_CALL_STARTED,F,,,,,,,,,,2026-08-18T14:23:50.900886+00:00
F:worker,49db97c11ac94fe6958c5f2d2ddebcab,wrong_accumulator_init__count_vowels__known_example::F,7,worker,MODEL_CALL_FINISHED,F,249,,,,,56,7370.741899998393,0.0,,2026-08-18T14:23:58.271979+00:00
F:checker,fe589724372b41108e234aaa5174b271,wrong_accumulator_init__count_vowels__known_example::F,8,checker,VERIFICATION,F,0,,,,,0,,,True,2026-08-18T14:23:58.788084+00:00
F:npc,abcdbeebff0e4c49a08896a05bfd4c14,wrong_accumulator_init__count_vowels__known_example::F,9,npc,QUEST_COMPLETED,F,,,,,,,,,True,2026-08-18T14:23:58.788767+00:00
A:npc,,inverted_boolean_logic__is_valid_password__variant::A,1,npc,QUEST_CREATED,A,,,,,,,,,,2026-08-18T14:23:58.789080+00:00
A:npc,b1dd491fcf80492b9eb811027c07fcb5,inverted_boolean_logic__is_valid_password__variant::A,2,npc,NPC_ASSIGNED,A,,,,,,,,,,2026-08-18T14:23:58.789350+00:00
A:worker,9cbea092fd914e3d9218dc7132ba41e2,inverted_boolean_logic__is_valid_password__variant::A,3,worker,PROMPT_BUILT,A,146,146,0,,,,,,,2026-08-18T14:23:58.928163+00:00
A:worker,8041ba34bb7e4ab5a5afc72dbd4f9dbc,inverted_boolean_logic__is_valid_password__variant::A,4,worker,MODEL_CALL_STARTED,A,,,,,,,,,,2026-08-18T14:23:58.928762+00:00
A:worker,20e975b9c83349b2a6c24bba5fc00aa7,inverted_boolean_logic__is_valid_password__variant::A,5,worker,MODEL_CALL_FINISHED,A,146,,,,230,59,12159.530500008259,0.0,,2026-08-18T14:24:11.088645+00:00
A:checker,1aac91bca5d948e4b3a30108bb51ae66,inverted_boolean_logic__is_valid_password__variant::A,6,checker,VERIFICATION,A,0,,,,,0,,,True,2026-08-18T14:24:11.687054+00:00
A:npc,d4136221568e41dbaf591c4c606f8d3a,inverted_boolean_logic__is_valid_password__variant::A,7,npc,QUEST_COMPLETED,A,,,,,,,,,True,2026-08-18T14:24:11.688125+00:00
B:npc,,inverted_boolean_logic__is_valid_password__variant::B,1,npc,QUEST_CREATED,B,,,,,,,,,,2026-08-18T14:24:11.688609+00:00
B:npc,5968304265d94b7c8640ec29bdb81a66,inverted_boolean_logic__is_valid_password__variant::B,2,npc,NPC_ASSIGNED,B,,,,,,,,,,2026-08-18T14:24:11.688915+00:00
B:worker,1281099afa9948258c24bae7f3989587,inverted_boolean_logic__is_valid_password__variant::B,3,worker,PROMPT_BUILT,B,146,146,0,,,,,,,2026-08-18T14:24:11.815072+00:00
B:worker,e92b7bf5a8164f20894dce966587084f,inverted_boolean_logic__is_valid_password__variant::B,4,worker,MODEL_CALL_STARTED,B,,,,,,,,,,2026-08-18T14:24:11.815825+00:00
B:worker,b1fbc49fa79a4ea78293ddd1e7060e1e,inverted_boolean_logic__is_valid_password__variant::B,5,worker,MODEL_CALL_FINISHED,B,146,,,,,59,1749.6901000267826,0.0,,2026-08-18T14:24:13.566119+00:00
B:checker,82821b450b6c48b79b17f0f26e4d8f6e,inverted_boolean_logic__is_valid_password__variant::B,6,checker,VERIFICATION,B,0,,,,,0,,,True,2026-08-18T14:24:14.059614+00:00
B:npc,404ec0fc92d14b7787fa5ee41a96b522,inverted_boolean_logic__is_valid_password__variant::B,7,npc,QUEST_COMPLETED,B,,,,,,,,,True,2026-08-18T14:24:14.060685+00:00
F:npc,,inverted_boolean_logic__is_valid_password__variant::F,1,npc,QUEST_CREATED,F,,,,,,,,,,2026-08-18T14:24:14.061114+00:00
F:npc,e82cc6b91e6d49cdbd9906f3aa8b5779,inverted_boolean_logic__is_valid_password__variant::F,2,npc,NPC_ASSIGNED,F,,,,,,,,,,2026-08-18T14:24:14.061512+00:00
F:librarian,694290deb1314d289094085dcc51f089,inverted_boolean_logic__is_valid_password__variant::F,3,librarian,RETRIEVAL_STARTED,F,,,,,,,,,,2026-08-18T14:24:14.271562+00:00
F:librarian,42d2b820b26640759fcdb777aeb9a983,inverted_boolean_logic__is_valid_password__variant::F,4,librarian,RETRIEVAL_RESULT,F,0,146,99,,,0,,,,2026-08-18T14:24:14.349242+00:00
F:worker,1eb181fe375340d8bbe5576bb06f157e,inverted_boolean_logic__is_valid_password__variant::F,5,worker,PROMPT_BUILT,F,245,146,99,,,,,,,2026-08-18T14:24:14.349876+00:00
F:worker,48ae8b07ed4a40378a27562bcb351d99,inverted_boolean_logic__is_valid_password__variant::F,6,worker,MODEL_CALL_STARTED,F,,,,,,,,,,2026-08-18T14:24:14.350280+00:00
F:worker,90d387339d744c4faf46409d5ec80720,inverted_boolean_logic__is_valid_password__variant::F,7,worker,MODEL_CALL_FINISHED,F,245,,,,,59,5686.774400004651,0.0,,2026-08-18T14:24:20.037521+00:00
F:checker,b743504a8a744a18bf7ef8bd7e832ba3,inverted_boolean_logic__is_valid_password__variant::F,8,checker,VERIFICATION,F,0,,,,,0,,,True,2026-08-18T14:24:20.556640+00:00
F:npc,720ba1c07c64468fb2374905bf289b18,inverted_boolean_logic__is_valid_password__variant::F,9,npc,QUEST_COMPLETED,F,,,,,,,,,True,2026-08-18T14:24:20.557646+00:00
A:npc,,wrong_string_case_comparison__is_valid_username__variant::A,1,npc,QUEST_CREATED,A,,,,,,,,,,2026-08-18T14:24:20.558085+00:00
A:npc,6512fae3d00e42d48167d2b3079a7565,wrong_string_case_comparison__is_valid_username__variant::A,2,npc,NPC_ASSIGNED,A,,,,,,,,,,2026-08-18T14:24:20.558459+00:00
A:worker,ff43b63f813544678cd5d62a7853d18d,wrong_string_case_comparison__is_valid_username__variant::A,3,worker,PROMPT_BUILT,A,114,114,0,,,,,,,2026-08-18T14:24:20.704192+00:00
A:worker,f28259828e684afea038a8b0208d18b2,wrong_string_case_comparison__is_valid_username__variant::A,4,worker,MODEL_CALL_STARTED,A,,,,,,,,,,2026-08-18T14:24:20.705093+00:00
A:worker,4da960fce8664a9aa2e58fcd6afcd97f,wrong_string_case_comparison__is_valid_username__variant::A,5,worker,MODEL_CALL_FINISHED,A,114,,,,1339,39,29808.846300002187,0.0,,2026-08-18T14:24:50.514561+00:00
A:checker,d3fd6d7b17ab4330a4a330f504573204,wrong_string_case_comparison__is_valid_username__variant::A,6,checker,VERIFICATION,A,0,,,,,0,,,True,2026-08-18T14:24:51.059016+00:00
A:npc,fa62993f813944deaee53612d3052946,wrong_string_case_comparison__is_valid_username__variant::A,7,npc,QUEST_COMPLETED,A,,,,,,,,,True,2026-08-18T14:24:51.059937+00:00
B:npc,,wrong_string_case_comparison__is_valid_username__variant::B,1,npc,QUEST_CREATED,B,,,,,,,,,,2026-08-18T14:24:51.060257+00:00
B:npc,def1112345d74706a2cf834a665030b1,wrong_string_case_comparison__is_valid_username__variant::B,2,npc,NPC_ASSIGNED,B,,,,,,,,,,2026-08-18T14:24:51.060598+00:00
B:worker,5cc5e90cb1b247ed95b98a03193aaeb7,wrong_string_case_comparison__is_valid_username__variant::B,3,worker,PROMPT_BUILT,B,114,114,0,,,,,,,2026-08-18T14:24:51.196212+00:00
B:worker,61184623d255443b92d6612c33186491,wrong_string_case_comparison__is_valid_username__variant::B,4,worker,MODEL_CALL_STARTED,B,,,,,,,,,,2026-08-18T14:24:51.196775+00:00
B:worker,96f21d92bba749cab76eb8957c4d78a8,wrong_string_case_comparison__is_valid_username__variant::B,5,worker,MODEL_CALL_FINISHED,B,114,,,,,42,748.2940999907441,0.0,,2026-08-18T14:24:51.945571+00:00
B:checker,ccd6004a285e4e84b20fdf9f718eab76,wrong_string_case_comparison__is_valid_username__variant::B,6,checker,VERIFICATION,B,0,,,,,0,,,False,2026-08-18T14:24:52.511150+00:00
B:npc,9d8602798e4345d5b48f8613c9bd62be,wrong_string_case_comparison__is_valid_username__variant::B,7,npc,QUEST_COMPLETED,B,,,,,,,,,False,2026-08-18T14:24:52.512056+00:00
F:npc,,wrong_string_case_comparison__is_valid_username__variant::F,1,npc,QUEST_CREATED,F,,,,,,,,,,2026-08-18T14:24:52.512353+00:00
F:npc,f992de2340154b46859ec627179146ca,wrong_string_case_comparison__is_valid_username__variant::F,2,npc,NPC_ASSIGNED,F,,,,,,,,,,2026-08-18T14:24:52.512649+00:00
F:librarian,05f2001d223e463ea148114ac4a138bf,wrong_string_case_comparison__is_valid_username__variant::F,3,librarian,RETRIEVAL_STARTED,F,,,,,,,,,,2026-08-18T14:24:52.647818+00:00
F:librarian,10527b2d930745e895cb4c6b51a4c5bc,wrong_string_case_comparison__is_valid_username__variant::F,4,librarian,RETRIEVAL_RESULT,F,0,114,366,,,0,,,,2026-08-18T14:24:52.721384+00:00
F:worker,52db5fcc6ca64c7aaf4adcb8c7408c5b,wrong_string_case_comparison__is_valid_username__variant::F,5,worker,PROMPT_BUILT,F,480,114,366,,,,,,,2026-08-18T14:24:52.721999+00:00
F:worker,4c2f0d3534f0443386551c09af1bcce9,wrong_string_case_comparison__is_valid_username__variant::F,6,worker,MODEL_CALL_STARTED,F,,,,,,,,,,2026-08-18T14:24:52.722362+00:00
F:worker,13d953bdd54f49f3a1fbef8a1243cc85,wrong_string_case_comparison__is_valid_username__variant::F,7,worker,MODEL_CALL_FINISHED,F,480,,,,,48,1689.5172000513412,0.0,,2026-08-18T14:24:54.412234+00:00
F:checker,ffd5cac868e9457a8024d4d10434b8fb,wrong_string_case_comparison__is_valid_username__variant::F,8,checker,VERIFICATION,F,0,,,,,0,,,True,2026-08-18T14:24:54.903148+00:00
F:npc,ca4763c3f83e4592b09d3cbda9e86eba,wrong_string_case_comparison__is_valid_username__variant::F,9,npc,QUEST_COMPLETED,F,,,,,,,,,True,2026-08-18T14:24:54.903796+00:00
A:npc,,incorrect_sort_key_or_order__dedupe_preserve_order__novel_b::A,1,npc,QUEST_CREATED,A,,,,,,,,,,2026-08-18T14:24:54.904070+00:00
A:npc,450a26b6c374481abcc94eb1ec2b9a31,incorrect_sort_key_or_order__dedupe_preserve_order__novel_b::A,2,npc,NPC_ASSIGNED,A,,,,,,,,,,2026-08-18T14:24:54.904356+00:00
A:worker,98d074ef8b8a4172a04dc41a6ad33e5f,incorrect_sort_key_or_order__dedupe_preserve_order__novel_b::A,3,worker,PROMPT_BUILT,A,152,152,0,,,,,,,2026-08-18T14:24:55.046309+00:00
A:worker,37486312e1384f0cb63c583455caa641,incorrect_sort_key_or_order__dedupe_preserve_order__novel_b::A,4,worker,MODEL_CALL_STARTED,A,,,,,,,,,,2026-08-18T14:24:55.046884+00:00
A:worker,dfe19ae768b049bda754c4ef54a512ff,incorrect_sort_key_or_order__dedupe_preserve_order__novel_b::A,5,worker,MODEL_CALL_FINISHED,A,152,,,,143,61,23210.47599997837,0.0,,2026-08-18T14:25:18.257766+00:00
A:checker,f8296ed9ef3b4f758da82c7c4ede51dd,incorrect_sort_key_or_order__dedupe_preserve_order__novel_b::A,6,checker,VERIFICATION,A,0,,,,,0,,,True,2026-08-18T14:25:18.798493+00:00
A:npc,409d41720e3744118e0c2d7fdc6e3767,incorrect_sort_key_or_order__dedupe_preserve_order__novel_b::A,7,npc,QUEST_COMPLETED,A,,,,,,,,,True,2026-08-18T14:25:18.799474+00:00
B:npc,,incorrect_sort_key_or_order__dedupe_preserve_order__novel_b::B,1,npc,QUEST_CREATED,B,,,,,,,,,,2026-08-18T14:25:18.799793+00:00
B:npc,9ae7ae4a47824e96bedf9387c56c0eb1,incorrect_sort_key_or_order__dedupe_preserve_order__novel_b::B,2,npc,NPC_ASSIGNED,B,,,,,,,,,,2026-08-18T14:25:18.800075+00:00
B:worker,a2cb006927b948a295f2169d26a977f2,incorrect_sort_key_or_order__dedupe_preserve_order__novel_b::B,3,worker,PROMPT_BUILT,B,152,152,0,,,,,,,2026-08-18T14:25:18.949771+00:00
B:worker,0d6e475ca7d94d41bb66b40df1b37c1a,incorrect_sort_key_or_order__dedupe_preserve_order__novel_b::B,4,worker,MODEL_CALL_STARTED,B,,,,,,,,,,2026-08-18T14:25:18.950358+00:00
B:worker,c5c6145967f449678f7d72480b97bb46,incorrect_sort_key_or_order__dedupe_preserve_order__novel_b::B,5,worker,MODEL_CALL_FINISHED,B,152,,,,,61,1342.808999994304,0.0,,2026-08-18T14:25:20.293557+00:00
B:checker,b480a25f3ed74599bec23e7e6af67c84,incorrect_sort_key_or_order__dedupe_preserve_order__novel_b::B,6,checker,VERIFICATION,B,0,,,,,0,,,True,2026-08-18T14:25:20.873849+00:00
B:npc,502c6b147eb5404dbe005276a71858d4,incorrect_sort_key_or_order__dedupe_preserve_order__novel_b::B,7,npc,QUEST_COMPLETED,B,,,,,,,,,True,2026-08-18T14:25:20.874791+00:00
F:npc,,incorrect_sort_key_or_order__dedupe_preserve_order__novel_b::F,1,npc,QUEST_CREATED,F,,,,,,,,,,2026-08-18T14:25:20.875112+00:00
F:npc,013ac7e385d3491da51453d9eed55554,incorrect_sort_key_or_order__dedupe_preserve_order__novel_b::F,2,npc,NPC_ASSIGNED,F,,,,,,,,,,2026-08-18T14:25:20.875491+00:00
F:librarian,3759bdefbfe84c93b3a960deccf4e3b4,incorrect_sort_key_or_order__dedupe_preserve_order__novel_b::F,3,librarian,RETRIEVAL_STARTED,F,,,,,,,,,,2026-08-18T14:25:21.106356+00:00
F:librarian,910d31102ddd439e9f6a2468152e6c45,incorrect_sort_key_or_order__dedupe_preserve_order__novel_b::F,4,librarian,RETRIEVAL_RESULT,F,0,152,0,,,0,,,,2026-08-18T14:25:21.178897+00:00
F:worker,64135d6bb9294a76b166565df27f6598,incorrect_sort_key_or_order__dedupe_preserve_order__novel_b::F,5,worker,PROMPT_BUILT,F,152,152,0,,,,,,,2026-08-18T14:25:21.179950+00:00
F:worker,41c6636c81da45839daa590faad980d5,incorrect_sort_key_or_order__dedupe_preserve_order__novel_b::F,6,worker,MODEL_CALL_STARTED,F,,,,,,,,,,2026-08-18T14:25:21.180292+00:00
F:worker,84fe819b905d4c8d998be82db204d7b4,incorrect_sort_key_or_order__dedupe_preserve_order__novel_b::F,7,worker,MODEL_CALL_FINISHED,F,152,,,,,61,724.0056000300683,0.0,,2026-08-18T14:25:21.904682+00:00
F:checker,277cf0e0cdb44539a64d0c6502875342,incorrect_sort_key_or_order__dedupe_preserve_order__novel_b::F,8,checker,VERIFICATION,F,0,,,,,0,,,True,2026-08-18T14:25:22.425189+00:00
F:npc,536e86494e2a4bc991e1e70f1024fe63,incorrect_sort_key_or_order__dedupe_preserve_order__novel_b::F,9,npc,QUEST_COMPLETED,F,,,,,,,,,True,2026-08-18T14:25:22.425876+00:00
A:npc,,integer_division_truncation__rolling_average__known_example::A,1,npc,QUEST_CREATED,A,,,,,,,,,,2026-08-18T14:25:22.426185+00:00
A:npc,5688ff38d2f14317ac16d14ed79b513c,integer_division_truncation__rolling_average__known_example::A,2,npc,NPC_ASSIGNED,A,,,,,,,,,,2026-08-18T14:25:22.426455+00:00
A:worker,a93ed87f67ca43c8ae9366b26ed2663a,integer_division_truncation__rolling_average__known_example::A,3,worker,PROMPT_BUILT,A,150,150,0,,,,,,,2026-08-18T14:25:22.567605+00:00
A:worker,ef05c72c65dd43a598e357a5757a3090,integer_division_truncation__rolling_average__known_example::A,4,worker,MODEL_CALL_STARTED,A,,,,,,,,,,2026-08-18T14:25:22.568444+00:00
