npc_id,parent_id,quest_id,step_id,role,event_type,config_name,prompt_tokens,context_tokens,retrieved_tokens,tool_tokens,reasoning_tokens,output_tokens,latency_ms,cost_usd,passed,timestamp
A:npc,,wrong_return_in_loop__flatten_list__novel_b::A,1,npc,QUEST_CREATED,A,,,,,,,,,,2026-08-18T11:55:20.615604+00:00
A:npc,02b575969a754c50bcbb1b1d14630d58,wrong_return_in_loop__flatten_list__novel_b::A,2,npc,NPC_ASSIGNED,A,,,,,,,,,,2026-08-18T11:55:20.616179+00:00
A:worker,cbd1a4422ef7472c87123dae4258da97,wrong_return_in_loop__flatten_list__novel_b::A,3,worker,PROMPT_BUILT,A,142,142,0,,,,,,,2026-08-18T11:55:20.789293+00:00
A:worker,df5737cfdd89426fa78646ed7761ef47,wrong_return_in_loop__flatten_list__novel_b::A,4,worker,MODEL_CALL_STARTED,A,,,,,,,,,,2026-08-18T11:55:20.789778+00:00
A:worker,be53afc50d4d40ad8629af121667d07e,wrong_return_in_loop__flatten_list__novel_b::A,5,worker,MODEL_CALL_FINISHED,A,142,,,,2059,61,8628.09280003421,0.0,,2026-08-18T11:55:29.418236+00:00
A:checker,eb919c4c4cb448ca921e8607906182a2,wrong_return_in_loop__flatten_list__novel_b::A,6,checker,VERIFICATION,A,0,,,,,0,,,True,2026-08-18T11:55:29.957756+00:00
A:npc,9fb959dcaf4d4228813c992f2ec3acb4,wrong_return_in_loop__flatten_list__novel_b::A,7,npc,QUEST_COMPLETED,A,,,,,,,,,True,2026-08-18T11:55:29.959149+00:00
B:npc,,wrong_return_in_loop__flatten_list__novel_b::B,1,npc,QUEST_CREATED,B,,,,,,,,,,2026-08-18T11:55:29.959756+00:00
B:npc,17f8a17659674dafa6e51f292d763e32,wrong_return_in_loop__flatten_list__novel_b::B,2,npc,NPC_ASSIGNED,B,,,,,,,,,,2026-08-18T11:55:29.960244+00:00
B:worker,129bfd59d0cb4ebd8489dacb8d5790b2,wrong_return_in_loop__flatten_list__novel_b::B,3,worker,PROMPT_BUILT,B,142,142,0,,,,,,,2026-08-18T11:55:30.105141+00:00
